a, b, c, d, e, f, g, h, i, Determinant
4, 9, 4, 7, 2, 1, 4, 8, 10, -354
3, 4, 9, 4, 2, 5, 2, 1, 8, -55
7, 8, 6, 6, 8, 5, 8, 5, 6, -11
10, 3, 2, 2, 3, 2, 8, 7, 3, -40
7, 8, 10, 8, 3, 3, 2, 7, 1, 358
3, 9, 8, 7, 3, 5, 6, 1, 5, -103
1, 7, 3, 5, 9, 3, 8, 2, 4, -128
7, 9, 3, 6, 8, 6, 10, 10, 1, 62
10, 4, 5, 6, 3, 8, 1, 6, 3, -265
9, 6, 4, 4, 5, 4, 7, 7, 1, -91
5, 8, 2, 5, 7, 3, 8, 9, 8, -5
8, 9, 10, 6, 10, 1, 1, 1, 10, 221
7, 4, 7, 7, 9, 9, 9, 2, 1, -236
10, 3, 5, 2, 5, 5, 10, 5, 4, -124
9, 9, 7, 10, 8, 2, 3, 6, 10, 18
4, 8, 5, 2, 6, 8, 5, 2, 5, 166
5, 10, 1, 2, 7, 1, 9, 1, 6, 114
8, 7, 5, 3, 2, 2, 5, 8, 10, -38
3, 8, 4, 8, 9, 2, 1, 1, 3, -105
7, 3, 2, 3, 5, 6, 5, 1, 8, 212
6, 2, 1, 9, 1, 6, 7, 8, 3, -175
4, 8, 10, 1, 8, 7, 2, 8, 5, -72
8, 7, 8, 10, 4, 1, 10, 10, 9, 128
3, 6, 4, 8, 10, 4, 10, 3, 7, -226
4, 3, 7, 3, 9, 1, 5, 7, 4, -73
9, 4, 3, 6, 10, 10, 7, 10, 1, -584
1, 1, 3, 10, 4, 8, 1, 2, 6, 4
2, 6, 3, 8, 8, 4, 10, 4, 6, -128
1, 3, 3, 2, 2, 9, 3, 9, 10, -4
3, 9, 2, 2, 8, 10, 5, 3, 1, 298
3, 10, 5, 6, 1, 7, 2, 10, 10, -350
10, 4, 2, 3, 3, 6, 1, 3, 10, 36
5, 8, 3, 1, 2, 2, 2, 5, 6, -3
4, 6, 3, 4, 4, 7, 2, 5, 5, -60
4, 5, 3, 8, 6, 8, 3, 9, 5, -86
10, 9, 4, 10, 7, 1, 7, 6, 3, -13
1, 4, 6, 8, 4, 1, 1, 5, 6, 47
10, 4, 4, 6, 10, 6, 9, 1, 8, 428
9, 6, 2, 7, 10, 7, 2, 1, 3, 139
3, 8, 10, 3, 10, 10, 7, 7, 9, -86
3, 5, 2, 6, 6, 3, 3, 4, 5, -39
10, 1, 10, 8, 1, 1, 1, 2, 1, 133
8, 2, 3, 9, 10, 8, 3, 4, 7, 244
6, 2, 6, 8, 4, 1, 1, 8, 4, 346
4, 10, 4, 4, 5, 4, 10, 2, 5, 100
9, 3, 1, 4, 5, 6, 1, 8, 1, -354
7, 4, 8, 2, 4, 9, 10, 4, 5, -48
3, 10, 6, 4, 8, 7, 7, 4, 6, 70
7, 8, 10, 1, 8, 9, 6, 5, 3, -169
6, 5, 7, 7, 8, 1, 5, 1, 5, -147
7, 9, 5, 8, 4, 4, 7, 2, 10, -304
4, 7, 2, 9, 6, 6, 9, 7, 5, 33
6, 9, 10, 5, 5, 3, 7, 2, 1, -112
1, 1, 5, 1, 8, 1, 6, 2, 9, -163
4, 1, 1, 1, 1, 3, 2, 6, 4, -50
8, 9, 1, 6, 4, 7, 8, 5, 10, 2
10, 7, 3, 4, 7, 3, 6, 2, 9, 342
10, 10, 3, 4, 10, 5, 5, 7, 10, 434
10, 1, 1, 4, 6, 3, 5, 4, 6, 217
5, 9, 4, 5, 8, 3, 5, 8, 5, -10
9, 10, 4, 5, 5, 10, 5, 1, 4, 310
2, 1, 2, 9, 5, 6, 4, 4, 5, 13
7, 5, 2, 3, 9, 4, 3, 10, 3, -70
4, 6, 2, 8, 9, 3, 9, 10, 2, 16
1, 8, 1, 10, 8, 7, 10, 10, 3, 294
1, 4, 10, 3, 4, 2, 8, 6, 7, -144
9, 1, 5, 1, 7, 2, 3, 5, 8, 332
2, 10, 5, 7, 3, 4, 5, 8, 3, 149
8, 10, 3, 3, 5, 5, 6, 9, 9, 21
9, 4, 2, 6, 4, 5, 3, 9, 2, -237
1, 6, 3, 2, 5, 4, 6, 5, 7, 15
4, 2, 10, 6, 8, 10, 2, 1, 3, -40
1, 6, 6, 4, 1, 8, 8, 3, 3, 315
8, 6, 6, 10, 6, 8, 10, 10, 8, -16
1, 4, 5, 10, 4, 9, 9, 6, 10, 30
9, 7, 8, 1, 2, 1, 9, 8, 7, -12
2, 3, 2, 3, 8, 8, 5, 2, 1, 27
3, 3, 2, 7, 7, 1, 4, 4, 5, 0
9, 2, 2, 8, 7, 2, 8, 9, 7, 231
2, 7, 5, 5, 9, 3, 9, 4, 4, -208
5, 2, 9, 5, 3, 6, 8, 3, 8, -35
3, 6, 1, 3, 1, 3, 3, 1, 5, -30
8, 7, 7, 6, 5, 5, 9, 7, 8, -2
10, 5, 3, 9, 8, 6, 5, 6, 8, 112
6, 4, 5, 6, 9, 9, 2, 7, 4, -66
10, 2, 9, 10, 6, 2, 3, 10, 4, 710
6, 1, 3, 1, 2, 7, 3, 10, 2, -365
2, 3, 9, 8, 5, 8, 6, 9, 1, 364
5, 6, 7, 5, 8, 9, 2, 2, 8, 56
2, 9, 8, 3, 10, 9, 5, 10, 8, 9
1, 8, 8, 5, 3, 8, 6, 8, 8, 200
2, 7, 9, 7, 5, 4, 6, 10, 1, 409
10, 1, 3, 4, 5, 8, 3, 9, 3, -495
3, 10, 5, 5, 7, 3, 4, 3, 4, -88
1, 9, 5, 7, 5, 4, 9, 2, 2, 45
6, 7, 7, 4, 6, 2, 1, 7, 8, 148
7, 6, 9, 7, 6, 9, 8, 3, 7, 0
1, 3, 7, 2, 5, 3, 4, 2, 1, -83
5, 7, 10, 2, 7, 8, 4, 8, 4, -132
8, 10, 10, 1, 2, 5, 9, 8, 2, 42
10, 3, 10, 9, 6, 9, 4, 2, 7, 99
3, 3, 3, 5, 4, 7, 1, 10, 2, -57
8, 1, 9, 1, 8, 10, 4, 9, 4, -635
10, 6, 2, 8, 8, 4, 10, 8, 9, 176
1, 6, 5, 3, 4, 8, 4, 8, 10, 28
4, 2, 8, 1, 7, 5, 1, 1, 9, 176
8, 8, 10, 9, 6, 2, 10, 10, 6, 156
5, 3, 5, 3, 9, 2, 5, 2, 9, 139
4, 1, 7, 4, 8, 8, 10, 8, 9, -260
3, 1, 4, 6, 8, 2, 5, 1, 1, -114
1, 9, 7, 8, 9, 3, 7, 9, 10, -405
3, 7, 10, 1, 6, 4, 9, 8, 6, -238
10, 2, 2, 8, 6, 9, 9, 9, 2, -524
6, 10, 9, 4, 10, 7, 9, 7, 5, -122
7, 7, 4, 8, 1, 10, 7, 2, 8, -6
5, 9, 3, 6, 4, 9, 7, 3, 9, 96
6, 8, 8, 2, 5, 5, 6, 6, 1, -70
8, 3, 1, 1, 6, 3, 6, 2, 6, 242
9, 10, 2, 5, 1, 7, 2, 6, 2, -264
7, 1, 2, 5, 3, 1, 9, 6, 4, 37
6, 9, 2, 8, 10, 8, 3, 5, 9, -112
9, 1, 2, 3, 10, 2, 5, 4, 4, 210
2, 7, 2, 7, 8, 1, 4, 6, 5, -129
7, 6, 5, 1, 10, 10, 1, 2, 7, 328
4, 7, 9, 8, 1, 7, 4, 4, 1, 284
6, 3, 9, 5, 7, 5, 8, 2, 3, -273
2, 2, 5, 2, 2, 9, 6, 3, 7, 24
10, 9, 2, 6, 4, 3, 10, 4, 1, 104
10, 5, 9, 6, 2, 5, 9, 4, 10, -21
4, 6, 8, 7, 4, 5, 4, 8, 10, 20
10, 3, 9, 10, 4, 4, 9, 2, 4, -76
4, 9, 10, 5, 8, 6, 2, 10, 6, 130
2, 8, 8, 8, 8, 7, 7, 2, 8, -340
5, 8, 1, 5, 1, 7, 1, 5, 4, -235
2, 4, 2, 10, 8, 5, 9, 10, 8, -56
7, 10, 5, 8, 6, 5, 2, 9, 7, -181
7, 1, 7, 4, 7, 1, 6, 9, 3, 36
1, 6, 7, 3, 10, 7, 2, 5, 8, -50
10, 2, 3, 3, 7, 5, 9, 9, 10, 172
8, 7, 10, 4, 1, 3, 2, 7, 10, -66
2, 9, 8, 9, 5, 3, 10, 1, 7, -561
4, 5, 7, 1, 10, 1, 9, 5, 9, -255
5, 8, 10, 1, 10, 1, 10, 7, 4, -717
2, 4, 4, 8, 6, 2, 2, 6, 7, -4
9, 9, 5, 7, 5, 2, 8, 9, 8, -47
5, 2, 10, 4, 9, 4, 3, 1, 4, -78
10, 3, 8, 1, 6, 3, 5, 4, 10, 287
4, 5, 1, 10, 8, 8, 6, 10, 8, -172
1, 1, 7, 4, 6, 6, 1, 3, 7, 44
2, 6, 4, 9, 1, 4, 9, 2, 7, -128
3, 4, 10, 2, 7, 10, 5, 1, 9, -43
3, 7, 1, 10, 2, 2, 10, 1, 3, -68
9, 1, 3, 8, 2, 5, 1, 4, 1, -75
6, 7, 6, 3, 3, 3, 3, 1, 9, -18
6, 2, 5, 4, 2, 8, 5, 9, 6, -198
3, 9, 5, 9, 6, 4, 3, 1, 5, -264
9, 7, 8, 1, 3, 6, 7, 6, 2, -110
4, 4, 8, 3, 8, 8, 10, 1, 3, -268
9, 9, 6, 9, 8, 3, 4, 10, 7, 123
9, 7, 4, 5, 7, 6, 3, 4, 7, 102
5, 6, 8, 7, 3, 8, 4, 7, 9, -35
1, 2, 2, 10, 6, 9, 4, 7, 9, -25
4, 4, 9, 2, 5, 2, 6, 8, 4, -94
4, 1, 8, 1, 6, 2, 9, 3, 9, -207
10, 6, 3, 8, 3, 2, 8, 3, 6, -72
7, 7, 1, 6, 4, 4, 6, 10, 1, -90
10, 4, 4, 4, 4, 5, 3, 9, 1, -270
3, 2, 2, 8, 4, 4, 3, 3, 5, -8
3, 4, 6, 3, 7, 1, 5, 1, 1, -166
1, 6, 3, 4, 4, 7, 1, 4, 3, -10
4, 7, 5, 7, 6, 6, 5, 4, 6, -46
1, 9, 9, 3, 1, 10, 9, 8, 10, 605
10, 1, 3, 8, 7, 3, 4, 2, 2, 40
7, 5, 5, 10, 4, 1, 6, 3, 6, -93
9, 10, 10, 8, 10, 7, 9, 5, 10, -85
2, 4, 10, 6, 6, 7, 8, 2, 5, -224
4, 3, 7, 6, 3, 8, 6, 1, 4, 4
8, 7, 4, 9, 5, 10, 8, 2, 6, 174
2, 4, 9, 3, 7, 10, 5, 4, 8, -71
5, 10, 3, 8, 6, 10, 6, 4, 9, -62
6, 7, 8, 7, 8, 9, 9, 2, 2, -7
9, 5, 8, 7, 5, 5, 3, 3, 10, 88
10, 9, 5, 4, 2, 3, 6, 8, 3, -26
2, 4, 3, 6, 8, 8, 2, 5, 3, 2
8, 3, 6, 9, 8, 3, 3, 6, 9, 396
6, 6, 8, 4, 8, 5, 3, 5, 7, 76
8, 4, 8, 1, 3, 9, 6, 3, 1, -100
7, 4, 4, 7, 7, 6, 9, 4, 7, 55
3, 10, 7, 6, 8, 4, 4, 1, 10, -394
10, 3, 8, 6, 2, 6, 7, 1, 2, 6
3, 7, 2, 7, 3, 6, 7, 4, 6, -4
5, 8, 7, 4, 5, 8, 7, 3, 4, 139
10, 10, 1, 4, 5, 5, 7, 4, 2, 151
2, 9, 2, 10, 4, 5, 9, 3, 7, -211
7, 3, 4, 5, 7, 4, 6, 6, 6, 60
7, 1, 9, 8, 5, 10, 3, 1, 1, -76
4, 6, 4, 3, 3, 6, 2, 9, 2, -72
9, 2, 9, 9, 4, 6, 1, 5, 7, 237
5, 5, 10, 5, 5, 7, 8, 4, 2, -60
2, 7, 6, 3, 2, 3, 10, 2, 7, -5
3, 8, 2, 10, 8, 9, 9, 8, 1, 392
1, 5, 2, 8, 9, 7, 10, 10, 7, 43
8, 9, 4, 5, 8, 3, 9, 9, 6, 33
10, 9, 3, 3, 9, 3, 9, 3, 9, 504
9, 10, 7, 9, 9, 1, 2, 1, 6, -106
6, 5, 2, 3, 3, 5, 3, 10, 9, -156
9, 1, 4, 5, 5, 7, 10, 2, 3, -96
7, 9, 7, 5, 4, 10, 5, 4, 4, 102
1, 1, 1, 3, 1, 9, 8, 5, 6, 22
3, 9, 7, 2, 7, 3, 10, 2, 6, -192
4, 7, 10, 1, 7, 5, 3, 10, 9, -16
1, 3, 8, 6, 4, 4, 4, 10, 8, 248
5, 3, 2, 5, 5, 4, 4, 1, 2, 18
2, 3, 6, 8, 5, 5, 6, 8, 2, 186
5, 1, 8, 2, 2, 8, 2, 10, 1, -248
4, 4, 3, 1, 3, 9, 2, 10, 4, -244
6, 6, 3, 7, 4, 3, 8, 7, 3, 15
10, 6, 1, 10, 2, 1, 3, 9, 7, -268
7, 8, 1, 1, 7, 3, 6, 9, 10, 332
9, 9, 3, 7, 4, 6, 4, 1, 2, 81
2, 5, 10, 7, 8, 2, 3, 3, 6, -126
4, 1, 3, 2, 2, 8, 7, 5, 2, -104
8, 6, 10, 10, 5, 1, 7, 6, 7, 104
3, 1, 8, 9, 4, 9, 5, 4, 2, 71
2, 8, 2, 9, 4, 4, 4, 9, 9, -390
10, 5, 6, 7, 2, 9, 1, 8, 7, -456
6, 8, 2, 6, 5, 8, 1, 9, 7, -396
9, 10, 10, 5, 9, 2, 8, 6, 4, -244
1, 6, 10, 10, 7, 10, 10, 4, 2, 154
8, 9, 1, 5, 6, 1, 10, 3, 5, 36
7, 7, 1, 4, 9, 7, 3, 2, 3, 135
4, 3, 7, 6, 2, 6, 1, 5, 4, 54
10, 8, 1, 3, 5, 9, 9, 10, 5, -137
3, 4, 2, 2, 2, 6, 3, 1, 5, 36
7, 4, 10, 2, 1, 8, 2, 9, 9, -289
8, 9, 2, 5, 5, 6, 9, 10, 7, -19
3, 8, 3, 6, 6, 7, 3, 2, 3, 18
6, 5, 7, 7, 7, 7, 6, 6, 1, -35
5, 4, 2, 9, 1, 8, 10, 5, 9, -89
3, 9, 8, 3, 7, 3, 4, 6, 9, -80
5, 3, 2, 2, 2, 9, 10, 3, 2, 115
6, 5, 1, 1, 10, 4, 4, 3, 5, 246
9, 10, 6, 9, 10, 4, 6, 10, 4, 60
4, 6, 9, 10, 7, 8, 9, 10, 2, 381
2, 6, 10, 5, 10, 7, 2, 10, 7, 174
4, 7, 10, 7, 4, 7, 4, 9, 9, 117
4, 4, 2, 2, 7, 2, 1, 8, 8, 122
4, 5, 8, 8, 6, 9, 5, 6, 1, 137
4, 8, 5, 3, 3, 6, 8, 3, 5, 177
3, 4, 4, 1, 8, 10, 1, 9, 4, -146
1, 4, 6, 2, 1, 4, 3, 4, 2, 48
8, 9, 3, 2, 1, 2, 8, 7, 3, 20
5, 7, 4, 2, 3, 7, 1, 10, 9, -224
3, 9, 3, 7, 9, 5, 8, 7, 2, 114
1, 9, 6, 10, 4, 8, 7, 2, 9, -334
2, 6, 6, 8, 2, 1, 1, 5, 7, -84
9, 1, 4, 10, 7, 6, 3, 2, 10, 436
9, 4, 8, 9, 9, 9, 7, 9, 8, 27
4, 8, 9, 7, 4, 8, 1, 7, 5, 45
1, 6, 5, 2, 1, 8, 3, 8, 7, 68
5, 5, 9, 1, 3, 5, 10, 8, 4, -108
4, 5, 1, 10, 1, 5, 3, 2, 3, -86
3, 1, 3, 6, 4, 2, 1, 10, 2, 122
2, 2, 10, 1, 1, 4, 9, 9, 4, 0
3, 5, 5, 4, 8, 4, 10, 1, 9, -156
6, 3, 9, 2, 1, 8, 5, 10, 1, -225
1, 10, 2, 3, 3, 8, 4, 8, 4, 172
7, 7, 2, 4, 5, 1, 10, 2, 2, -14
8, 9, 9, 5, 9, 5, 10, 3, 7, -156
4, 2, 8, 5, 1, 2, 9, 7, 1, 182
2, 9, 10, 6, 2, 4, 7, 1, 7, -186
10, 6, 5, 4, 2, 4, 2, 8, 7, -160
2, 5, 9, 6, 6, 7, 2, 6, 7, 76
4, 4, 6, 8, 1, 6, 7, 4, 8, -2
9, 6, 3, 1, 10, 1, 3, 7, 8, 558
5, 5, 3, 10, 7, 6, 10, 7, 6, 0
3, 5, 9, 9, 3, 9, 9, 9, 1, 612
10, 2, 6, 7, 7, 10, 3, 2, 7, 210
10, 4, 9, 5, 4, 1, 9, 3, 2, -143
4, 8, 3, 8, 1, 9, 6, 2, 1, 330
6, 10, 1, 1, 5, 9, 6, 2, 9, 584
10, 10, 8, 7, 10, 4, 5, 5, 1, -90
6, 3, 6, 10, 4, 5, 5, 4, 7, 33
8, 10, 5, 7, 8, 9, 4, 7, 2, -71
3, 5, 2, 2, 10, 7, 9, 8, 9, 179
1, 4, 5, 8, 6, 2, 2, 7, 4, 118
3, 6, 5, 10, 4, 6, 8, 9, 4, 224
1, 7, 4, 6, 6, 1, 8, 3, 10, -427
9, 9, 4, 3, 1, 5, 4, 10, 4, -238
2, 4, 6, 10, 9, 1, 2, 8, 4, 276
2, 1, 8, 3, 10, 2, 7, 3, 10, -316
5, 1, 1, 8, 1, 8, 6, 6, 4, -162
1, 10, 3, 6, 7, 1, 10, 9, 7, -328
4, 1, 5, 8, 9, 6, 4, 2, 4, -12
4, 8, 8, 4, 8, 1, 4, 3, 9, -140
4, 7, 1, 5, 9, 1, 5, 7, 1, -2
6, 8, 2, 8, 9, 1, 2, 5, 9, -60
6, 10, 1, 8, 5, 4, 10, 10, 1, 140
3, 7, 2, 7, 5, 1, 9, 10, 3, -19
6, 5, 9, 4, 3, 3, 8, 6, 6, 0
5, 10, 8, 8, 4, 6, 7, 6, 7, -20
9, 9, 4, 3, 9, 9, 4, 3, 8, 405
7, 10, 1, 2, 5, 5, 10, 9, 2, 183
4, 8, 2, 2, 5, 10, 7, 10, 8, 162
6, 10, 10, 3, 9, 6, 10, 8, 3, -276
1, 10, 6, 10, 7, 9, 3, 1, 4, -177
6, 8, 1, 2, 8, 8, 6, 3, 3, 294
2, 2, 1, 5, 3, 3, 6, 4, 6, -10
4, 9, 1, 1, 1, 4, 3, 2, 7, 40
9, 6, 8, 7, 9, 9, 1, 2, 1, -29
4, 9, 9, 9, 6, 7, 3, 8, 5, 166
9, 7, 9, 7, 1, 3, 7, 5, 8, -56
8, 9, 6, 8, 4, 2, 1, 8, 5, 50
6, 10, 2, 1, 3, 3, 1, 7, 2, -72
10, 4, 9, 4, 10, 1, 3, 2, 3, 46
7, 7, 9, 3, 9, 2, 9, 9, 8, -150
2, 9, 10, 1, 3, 5, 4, 4, 4, 48
1, 4, 3, 3, 2, 1, 7, 10, 3, 36
6, 5, 9, 6, 5, 2, 8, 3, 7, -154
9, 5, 3, 4, 2, 8, 7, 5, 7, -76
9, 5, 10, 9, 6, 8, 4, 3, 2, -8
2, 9, 2, 9, 10, 3, 7, 1, 8, -427
10, 7, 8, 7, 7, 10, 1, 2, 10, 136
8, 10, 5, 1, 4, 3, 10, 4, 10, 244
5, 6, 5, 3, 8, 4, 5, 5, 10, 115
5, 9, 9, 10, 1, 6, 7, 9, 7, 260
6, 10, 6, 5, 5, 6, 6, 8, 9, -48
6, 2, 10, 9, 8, 9, 4, 3, 3, -50
3, 10, 4, 7, 5, 1, 10, 1, 8, -515
2, 10, 4, 1, 9, 9, 5, 3, 10, 308
8, 9, 8, 7, 10, 9, 5, 8, 3, -72
5, 5, 3, 9, 7, 3, 10, 6, 6, -48
10, 2, 4, 5, 9, 9, 3, 6, 10, 326
6, 1, 9, 3, 2, 8, 1, 10, 1, -211
5, 1, 3, 7, 1, 3, 10, 4, 8, 8
2, 2, 3, 6, 5, 8, 3, 5, 9, -5
2, 5, 9, 7, 8, 2, 7, 6, 2, -118
2, 2, 5, 5, 1, 10, 6, 4, 4, 78
2, 1, 2, 10, 9, 3, 3, 5, 1, 33
9, 5, 7, 1, 6, 2, 8, 3, 7, 54
7, 8, 7, 5, 8, 9, 2, 10, 10, -88
6, 7, 10, 7, 10, 4, 2, 1, 2, -76
4, 10, 3, 7, 4, 8, 3, 9, 4, -111
3, 10, 4, 4, 1, 3, 9, 7, 4, 135
6, 4, 4, 2, 7, 2, 1, 2, 8, 244
5, 1, 8, 7, 5, 8, 10, 4, 3, -202
7, 6, 10, 8, 2, 10, 7, 4, 6, 116
3, 8, 4, 8, 6, 10, 2, 8, 5, -102
6, 8, 1, 2, 1, 1, 8, 8, 6, -36
5, 4, 7, 8, 8, 8, 5, 8, 9, 80
4, 8, 10, 3, 9, 3, 9, 10, 3, -378
10, 2, 4, 8, 6, 8, 7, 5, 10, 144
1, 7, 6, 6, 8, 5, 6, 3, 4, -121
7, 4, 7, 8, 9, 1, 7, 2, 1, -284
6, 3, 5, 10, 10, 2, 3, 6, 2, 156
10, 1, 4, 10, 10, 6, 3, 4, 2, -2
3, 8, 4, 2, 6, 3, 10, 5, 1, -3
2, 8, 5, 4, 8, 2, 1, 6, 9, -72
6, 8, 2, 1, 3, 1, 9, 6, 5, 44
6, 2, 6, 5, 4, 3, 7, 7, 10, 98
4, 1, 7, 8, 6, 9, 1, 2, 3, 55
5, 6, 5, 6, 7, 2, 3, 1, 8, -57
4, 6, 3, 10, 8, 6, 7, 3, 1, 74
6, 6, 5, 10, 7, 7, 8, 7, 4, 40
7, 3, 4, 8, 3, 10, 9, 5, 10, -58
5, 4, 4, 5, 4, 2, 3, 7, 5, 46
2, 2, 4, 9, 4, 8, 4, 9, 4, 140
1, 3, 9, 7, 8, 6, 7, 4, 2, -176
10, 4, 1, 1, 4, 3, 2, 5, 7, 123
8, 5, 10, 7, 7, 10, 1, 6, 9, 109
5, 8, 8, 2, 5, 1, 1, 4, 2, 30
6, 6, 2, 4, 2, 6, 9, 4, 7, 92
4, 10, 1, 7, 6, 7, 7, 9, 2, 167
9, 10, 7, 7, 9, 3, 1, 7, 10, 231
7, 3, 5, 6, 8, 10, 5, 7, 6, -102
9, 10, 5, 3, 7, 6, 4, 1, 10, 391
2, 6, 1, 2, 1, 7, 10, 7, 9, 236
10, 1, 3, 5, 2, 4, 6, 7, 10, -37
3, 6, 3, 9, 7, 10, 3, 5, 3, 3
10, 7, 7, 10, 2, 6, 2, 6, 1, 66
10, 1, 7, 1, 6, 4, 5, 5, 4, -119
4, 4, 1, 2, 9, 10, 2, 7, 8, 20
8, 3, 7, 6, 6, 10, 6, 5, 4, -142
7, 4, 6, 3, 6, 9, 10, 2, 8, 150
9, 5, 5, 10, 5, 1, 3, 10, 4, 330
8, 4, 9, 7, 9, 7, 2, 6, 6, 200
3, 9, 7, 3, 8, 3, 10, 4, 5, -257
9, 4, 7, 8, 3, 7, 10, 3, 6, 19
2, 1, 1, 5, 7, 4, 1, 3, 8, 60
8, 3, 9, 6, 3, 3, 3, 2, 9, 60
3, 10, 1, 5, 8, 5, 9, 10, 2, 226
4, 10, 10, 9, 1, 7, 5, 6, 5, 242
2, 2, 2, 9, 4, 10, 3, 4, 2, 8
4, 10, 10, 5, 1, 1, 10, 5, 2, 138
2, 6, 7, 1, 2, 2, 6, 2, 5, -16
7, 1, 8, 4, 1, 9, 3, 8, 8, -221
3, 3, 5, 2, 6, 3, 7, 1, 5, -86
9, 4, 5, 10, 4, 8, 10, 3, 7, 26
2, 9, 7, 7, 10, 4, 2, 10, 1, 299
9, 10, 2, 10, 6, 2, 4, 4, 1, -6
2, 7, 9, 1, 4, 6, 4, 8, 4, 4
2, 1, 9, 3, 8, 5, 7, 1, 7, -361
7, 9, 2, 4, 5, 2, 2, 7, 10, -36
1, 5, 8, 7, 5, 3, 7, 2, 8, -309
6, 1, 10, 5, 2, 3, 7, 7, 1, 112
5, 8, 3, 1, 10, 1, 6, 2, 8, 200
8, 6, 9, 9, 4, 1, 10, 7, 2, 167
1, 8, 6, 7, 1, 3, 3, 4, 3, 45
5, 6, 1, 10, 4, 1, 3, 9, 4, -109
2, 2, 1, 2, 3, 5, 9, 8, 9, 17
3, 4, 6, 8, 9, 9, 7, 7, 2, 11
10, 5, 3, 4, 3, 1, 5, 2, 8, 64
8, 3, 3, 1, 8, 2, 9, 2, 1, -127
7, 5, 1, 5, 6, 8, 5, 10, 3, -289
7, 2, 8, 10, 8, 7, 1, 1, 9, 305
1, 10, 7, 6, 8, 9, 4, 5, 7, -63
9, 8, 8, 1, 9, 5, 8, 2, 8, 254
5, 4, 10, 9, 1, 9, 7, 10, 4, 508
10, 2, 2, 5, 7, 5, 9, 6, 3, -96
4, 10, 7, 5, 9, 10, 10, 4, 8, 238
6, 8, 7, 8, 10, 6, 9, 10, 5, -18
8, 10, 8, 5, 9, 8, 5, 7, 2, -84
1, 2, 2, 8, 6, 5, 3, 3, 6, -33
4, 5, 8, 10, 5, 3, 7, 7, 9, 31
5, 10, 4, 9, 10, 1, 8, 4, 7, -396
2, 9, 8, 10, 10, 10, 2, 3, 10, -500
6, 1, 2, 6, 3, 8, 4, 2, 6, 8
10, 4, 1, 8, 4, 4, 5, 1, 4, 60
10, 5, 2, 7, 6, 1, 5, 2, 7, 148
6, 10, 8, 7, 1, 4, 3, 6, 1, 224
2, 2, 2, 3, 9, 7, 4, 10, 1, -84
9, 9, 2, 9, 3, 1, 4, 9, 8, -339
9, 1, 1, 3, 3, 9, 10, 10, 2, -672
5, 7, 9, 10, 2, 3, 2, 1, 5, -219
5, 5, 3, 7, 2, 3, 6, 9, 1, 83
10, 10, 5, 1, 9, 1, 9, 4, 6, 145
2, 6, 1, 9, 10, 8, 9, 10, 8, 0
5, 1, 7, 4, 1, 9, 2, 3, 4, -43
8, 7, 6, 3, 7, 4, 1, 6, 3, 7
4, 2, 6, 3, 2, 10, 6, 6, 3, -78
2, 3, 4, 6, 2, 7, 1, 7, 7, -15
2, 10, 10, 5, 3, 6, 3, 5, 9, -116
4, 1, 6, 10, 1, 1, 10, 9, 10, 394
7, 4, 3, 1, 8, 10, 4, 5, 6, 41
6, 5, 10, 6, 10, 4, 8, 9, 7, -106
3, 4, 3, 3, 2, 2, 2, 1, 1, 1
6, 6, 3, 6, 3, 3, 6, 8, 6, -54
6, 4, 4, 9, 8, 6, 7, 1, 4, -8
2, 5, 2, 7, 3, 3, 5, 4, 9, -184
7, 4, 2, 5, 6, 10, 1, 8, 4, -364
10, 8, 8, 9, 2, 4, 9, 10, 10, -56
5, 1, 9, 8, 10, 5, 5, 5, 6, 62
5, 10, 8, 3, 7, 6, 9, 3, 8, 58
6, 10, 2, 9, 8, 1, 4, 3, 5, -198
8, 10, 2, 7, 9, 5, 10, 6, 5, 174
6, 5, 8, 9, 6, 10, 3, 3, 6, -12
1, 2, 5, 6, 2, 8, 1, 8, 8, 102
1, 10, 10, 4, 10, 7, 1, 3, 2, 9
1, 4, 7, 2, 7, 5, 7, 5, 5, -163
6, 5, 8, 4, 6, 6, 7, 1, 4, -66
3, 7, 7, 7, 10, 10, 4, 6, 9, -57
3, 3, 10, 10, 4, 2, 4, 8, 2, 580
1, 4, 7, 6, 2, 2, 2, 7, 2, 224
3, 8, 9, 6, 2, 7, 2, 3, 9, -203
6, 2, 4, 9, 8, 5, 6, 9, 10, 222
8, 5, 5, 8, 5, 7, 5, 9, 2, -94
4, 2, 9, 10, 4, 9, 2, 9, 6, 426
9, 9, 8, 2, 8, 2, 4, 1, 1, -132
7, 6, 6, 9, 3, 4, 9, 2, 3, 7
4, 10, 10, 2, 9, 7, 4, 7, 2, -104
3, 8, 10, 6, 10, 9, 4, 9, 7, 59
6, 8, 5, 1, 1, 1, 10, 1, 9, 11
5, 5, 6, 6, 7, 4, 3, 7, 9, 91
9, 2, 4, 4, 3, 6, 10, 10, 7, -247
3, 1, 9, 8, 8, 9, 2, 4, 10, 214
5, 8, 6, 1, 6, 10, 7, 9, 9, 110
9, 6, 8, 6, 2, 5, 8, 2, 2, 82
1, 7, 7, 7, 9, 1, 3, 2, 6, -312
1, 3, 8, 1, 3, 6, 8, 10, 2, -28
3, 1, 3, 5, 2, 7, 5, 4, 2, -17
5, 6, 4, 2, 2, 8, 2, 3, 1, -18
