A1, A2, A3, B1, B2, B3, C1, C2, C3, Norm
3, 3, 6, 6, 9, 4, 7, 10, 7, 393.029
6, 5, 9, 5, 2, 9, 2, 2, 1, 393.361
3, 2, 5, 7, 6, 1, 9, 9, 4, 393.745
4, 1, 1, 7, 5, 7, 10, 10, 5, 394.209
4, 10, 5, 9, 2, 3, 8, 10, 5, 394.747
7, 6, 4, 9, 7, 10, 1, 7, 10, 395.356
3, 3, 4, 2, 6, 1, 4, 7, 9, 395.635
2, 8, 7, 9, 1, 8, 9, 10, 6, 396.241
7, 3, 6, 4, 1, 6, 2, 4, 10, 396.578
6, 5, 7, 6, 7, 5, 8, 7, 10, 397.123
7, 4, 8, 9, 5, 1, 10, 3, 6, 397.603
4, 8, 3, 10, 3, 10, 1, 5, 5, 398.041
7, 6, 6, 4, 4, 3, 8, 2, 4, 398.35
9, 2, 7, 3, 5, 2, 7, 4, 6, 398.693
2, 10, 3, 7, 3, 7, 6, 4, 4, 399.054
6, 6, 8, 4, 4, 8, 4, 8, 4, 399.465
6, 10, 10, 5, 5, 1, 8, 2, 10, 400.034
6, 3, 9, 8, 2, 9, 7, 2, 8, 400.523
9, 10, 10, 1, 5, 2, 7, 9, 2, 401.079
9, 7, 9, 3, 10, 2, 3, 2, 2, 401.503
9, 1, 10, 8, 2, 9, 9, 5, 10, 402.172
1, 9, 6, 1, 6, 9, 1, 7, 7, 402.588
7, 7, 1, 1, 3, 3, 8, 5, 2, 402.85
6, 10, 1, 8, 10, 5, 6, 5, 1, 403.331
10, 3, 7, 3, 7, 2, 4, 4, 4, 403.663
2, 9, 2, 1, 6, 5, 1, 5, 10, 404.006
4, 8, 9, 5, 9, 3, 8, 1, 10, 404.552
3, 3, 1, 5, 9, 10, 10, 3, 9, 405.064
10, 6, 2, 1, 3, 9, 2, 7, 9, 405.514
6, 6, 4, 9, 9, 6, 9, 1, 7, 406.028
9, 3, 8, 9, 7, 2, 9, 1, 9, 406.583
10, 8, 6, 4, 6, 7, 1, 4, 8, 407.053
1, 6, 7, 9, 1, 2, 8, 8, 7, 407.481
2, 9, 2, 2, 9, 2, 1, 3, 3, 407.723
4, 5, 6, 7, 6, 6, 4, 9, 3, 408.096
9, 8, 5, 3, 10, 6, 2, 2, 3, 408.502
9, 6, 10, 8, 10, 4, 10, 2, 8, 409.193
4, 1, 6, 2, 6, 10, 5, 1, 4, 409.48
2, 8, 7, 10, 6, 2, 4, 7, 3, 409.884
9, 10, 4, 6, 9, 8, 3, 9, 9, 410.553
5, 3, 4, 9, 4, 9, 7, 4, 5, 410.94
4, 1, 4, 8, 3, 10, 8, 4, 9, 411.387
8, 2, 5, 3, 7, 7, 7, 3, 7, 411.76
2, 8, 6, 9, 9, 6, 10, 5, 8, 412.355
6, 5, 4, 9, 10, 2, 1, 9, 5, 412.803
4, 2, 5, 7, 6, 2, 9, 1, 6, 413.108
2, 6, 7, 10, 2, 8, 5, 10, 1, 413.571
3, 3, 6, 2, 5, 2, 5, 5, 8, 413.814
2, 7, 6, 4, 5, 8, 9, 3, 2, 414.162
2, 10, 7, 6, 3, 4, 2, 5, 2, 414.46
4, 5, 1, 10, 7, 7, 6, 10, 5, 414.943
6, 9, 1, 9, 6, 9, 4, 2, 7, 415.407
8, 2, 4, 3, 1, 5, 4, 2, 7, 415.633
